SRR10338065 2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338065_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338065_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338066	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338066_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338066_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338067	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338067_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338067_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
SRR10338068	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338068_scRNAseq_of_homo_sapiens_healthy_tonsil_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338068_scRNAseq_of_homo_sapiens_healthy_tonsil_2.fastq.gz
SRR10338069	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338069_scRNAseq_of_homo_sapiens_healthy_tonsil_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338069_scRNAseq_of_homo_sapiens_healthy_tonsil_2.fastq.gz
SRR10338070	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338070_scRNAseq_of_homo_sapiens_healthy_tonsil_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338070_scRNAseq_of_homo_sapiens_healthy_tonsil_2.fastq.gz
SRR10338071	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338071_scRNAseq_of_homo_sapiens_HNSCC_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338071_scRNAseq_of_homo_sapiens_HNSCC_PBMC_2.fastq.gz
SRR10338072	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338072_scRNAseq_of_homo_sapiens_healthy_tonsil_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338072_scRNAseq_of_homo_sapiens_healthy_tonsil_2.fastq.gz
SRR10338073	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338073_scRNAseq_of_homo_sapiens_healthy_tonsil_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338073_scRNAseq_of_homo_sapiens_healthy_tonsil_2.fastq.gz
SRR10338074	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338074_scRNAseq_of_homo_sapiens_healthy_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338074_scRNAseq_of_homo_sapiens_healthy_PBMC_2.fastq.gz
SRR10338075	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338075_scRNAseq_of_homo_sapiens_healthy_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338075_scRNAseq_of_homo_sapiens_healthy_PBMC_2.fastq.gz
SRR10338076	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338076_scRNAseq_of_homo_sapiens_healthy_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338076_scRNAseq_of_homo_sapiens_healthy_PBMC_2.fastq.gz
SRR10338077	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338077_scRNAseq_of_homo_sapiens_healthy_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338077_scRNAseq_of_homo_sapiens_healthy_PBMC_2.fastq.gz
SRR10338078	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338078_scRNAseq_of_homo_sapiens_healthy_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338078_scRNAseq_of_homo_sapiens_healthy_PBMC_2.fastq.gz
SRR10338079	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338079_scRNAseq_of_homo_sapiens_healthy_PBMC_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338079_scRNAseq_of_homo_sapiens_healthy_PBMC_2.fastq.gz
SRR10338080	2000	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338080_scRNAseq_of_homo_sapiens_HNSCC_TIL_1.fastq.gz	/scratch/n/nicholsa/zyfniu/PRJNA579178/SRR10338080_scRNAseq_of_homo_sapiens_HNSCC_TIL_2.fastq.gz
